id;counter_id;reading;consumption;perday;date;remark
1;1;19502,4004;;;2008-10-07 08:36:35;
2;2;39356,0586;;;2008-10-07 08:36:35;
3;1;19538,1992;36;24,2943927611;2008-10-08 19:58:29;
4;2;39360,9766;5;3,337537113;2008-10-08 19:58:29;
5;1;19571,3008;33;46,5158128944;2008-10-09 13:03:13;
6;2;39365,8516;5;6,850562748;2008-10-09 13:03:13;
7;1;19622,1992;51;48,5866000819;2008-10-10 14:11:44;
8;2;39375,3086;9;9,0274640652;2008-10-10 14:11:44;
9;1;19640,6992;19;50,9206753749;2008-10-10 22:54:54;
10;1;19652,3008;12;22,5147287796;2008-10-11 11:16:55;
11;2;39383,3008;8;9,0965219797;2008-10-11 11:16:55;
12;1;19764;112;105,282338926;2008-10-12 12:44:41;
13;2;39392,9609;10;9,1051495647;2008-10-12 12:44:41;
14;1;19803,0996;39;36,2896706414;2008-10-13 14:36:11;
15;2;39400;7;6,5332284886;2008-10-13 14:36:11;
16;1;19949,5;146;37,72170963;2008-10-17 11:44:55;
17;2;39432,5;33;8,3739905286;2008-10-17 11:44:55;
18;1;20006;57;49,4669855296;2008-10-18 15:09:39;
19;2;39447;15;12,6950670828;2008-10-18 15:09:39;
20;1;20132,3008;126;26,4842600472;2008-10-23 09:36:52;
21;2;39500,4297;53;11,2037775615;2008-10-23 09:36:52;
22;1;20194,6992;62;56,6638123264;2008-10-24 12:02:36;
23;2;39521,1914;21;18,8536416379;2008-10-24 12:02:36;
24;1;20278,6992;84;81,2821288175;2008-10-25 12:50:45;
25;2;39548,8984;28;26,8105231327;2008-10-25 12:50:45;
26;1;20330,9004;52;55,7832048682;2008-10-26 11:18:17;
27;2;39563,0586;14;15,1318616732;2008-10-26 11:18:17;
28;1;20369,3008;38;38,6036949212;2008-10-27 11:10:42;
29;2;39577,5508;14;14,5689229158;2008-10-27 11:10:42;
30;1;20402,8008;34;38,2978723404;2008-10-28 08:10:18;
31;2;39592,6406;15;17,2509622102;2008-10-28 08:10:18;
32;1;20425,4004;23;22,3479271629;2008-10-29 08:26:31;
33;2;39607,6016;15;14,7943918602;2008-10-29 08:26:31;
34;1;20445,5996;20;19,8744007653;2008-10-30 08:50:03;
35;2;39622,5586;15;14,7164943288;2008-10-30 08:50:03;
36;1;20480,4004;35;34,6823821444;2008-10-31 08:54:58;
37;2;39650,5;28;27,8463228561;2008-10-31 08:54:58;Am Do kleines NZ belegt
38;1;20526,0996;46;45,6041912682;2008-11-01 08:57:58;
39;2;39672,9219;22;22,3752848233;2008-11-01 08:57:58;
40;1;20571,6992;46;44,412691384;2008-11-02 09:36:27;
41;2;39704,8984;32;31,1441860464;2008-11-02 09:36:27;So hintere Haelfte Saal und kl NZ belegt
42;1;20633,5996;62;65,4221404546;2008-11-03 08:18:56;So Kombi Spuelmaschine
43;2;39722,9609;18;19,0901417755;2008-11-03 08:18:56;s o
44;1;20671;37;37,5037088274;2008-11-04 08:14:58;
45;2;39740,4805;18;17,5679933149;2008-11-04 08:14:58;Gymnastik
46;1;20700,5996;30;28,7620387783;2008-11-05 08:56:54;Bierkeller und Theke aus
47;2;39752,5781;12;11,7552818391;2008-11-05 08:56:54;
48;1;20726;25;25,2661734536;2008-11-06 09:04:33;Bierkeller und Theke aus
49;2;39763,5195;11;10,8835809761;2008-11-06 09:04:33;
50;3;2052;;;2008-11-06 09:17:22;
51;4;1804;;;2008-11-06 09:17:22;
52;1;20776,8008;51;51,2067796767;2008-11-07 08:53:08;Fr Grillplatte
53;2;39775,5508;12;12,1274493379;2008-11-07 08:53:08;
54;1;20822,9004;46;44,7830609398;2008-11-08 09:35:28;Fr Grillplatte
55;2;39794,1602;19;18,0779419833;2008-11-08 09:35:28;Fr Saal hinten MGV
56;1;20881,6992;59;61,4153497991;2008-11-09 08:34:07;Sa Grillplatte So Kombi
57;2;39815,5195;21;22,3097900121;2008-11-09 08:34:07;So Saal hinten gr NZ leicht Saaltoiletten
58;1;20991,3008;110;109,957945192;2008-11-10 08:29:27;Kombi Tellerwaermer Wasserbad Spuelmaschine
59;2;39843,2695;28;27,8402229445;2008-11-10 08:29:27;So siehe oben
60;1;21027;36;35,6872216502;2008-11-11 08:29:56;
61;2;39856,3516;13;13,0777104907;2008-11-11 08:29:56;
62;1;21048,1992;21;21,6382255721;2008-11-12 08:00:43;
63;2;39864,4688;8;8,2853034366;2008-11-12 08:00:43;
64;1;21073,1992;25;24,3330930066;2008-11-13 08:40:11;
65;2;39874,6602;10;9,9195313627;2008-11-13 08:40:11;
66;1;21123,9004;51;50,0683911672;2008-11-14 08:58:23;Do 1/2 Grillplatte
67;2;39890,4297;16;15,5726786449;2008-11-14 08:58:23;
68;1;21172,1992;48;47,9960471564;2008-11-15 09:07:28;Fr Kombi
69;2;39916,6602;26;26,0660785555;2008-11-15 09:07:28;Fr Saal hinten MGV
70;1;21240,5996;68;69,5842995406;2008-11-16 08:42:58;Sa So morgen Kombi
71;2;39937,3086;21;21,0057901801;2008-11-16 08:42:58;
