id,counter_id,reading,consumption,date,remark,temperature
1,1,19502.4004,,2008-10-07 06:36,,0
2,2,39356.0586,,2008-10-07 06:36,,0
3,1,19538.1992,36,2008-10-08 17:58,,0
4,2,39360.9766,5,2008-10-08 17:58,,0
5,1,19571.3008,33,2008-10-09 11:03,,0
6,2,39365.8516,5,2008-10-09 11:03,,0
7,1,19622.1992,51,2008-10-10 12:11,,0
8,2,39375.3086,9,2008-10-10 12:11,,0
9,1,19640.6992,19,2008-10-10 20:54,,0
10,1,19652.3008,12,2008-10-11 09:16,,0
11,2,39383.3008,8,2008-10-11 09:16,,0
12,1,19764,112,2008-10-12 10:44,,0
13,2,39392.9609,10,2008-10-12 10:44,,0
14,1,19803.0996,39,2008-10-13 12:36,,0
15,2,39400,7,2008-10-13 12:36,,0
16,1,19949.5,146,2008-10-17 09:44,,0
17,2,39432.5,33,2008-10-17 09:44,,0
18,1,20006,57,2008-10-18 13:09,,0
19,2,39447,15,2008-10-18 13:09,,0
20,1,20132.3008,126,2008-10-23 07:36,,0
21,2,39500.4297,53,2008-10-23 07:36,,0
22,1,20194.6992,62,2008-10-24 10:02,,0
23,2,39521.1914,21,2008-10-24 10:02,,0
24,1,20278.6992,84,2008-10-25 10:50,,0
25,2,39548.8984,28,2008-10-25 10:50,,0
26,1,20330.9004,52,2008-10-26 10:18,,0
27,2,39563.0586,14,2008-10-26 10:18,,0
28,1,20369.3008,38,2008-10-27 10:10,,0
29,2,39577.5508,14,2008-10-27 10:10,,0
30,1,20402.8008,34,2008-10-28 07:10,,0
31,2,39592.6406,15,2008-10-28 07:10,,0
32,1,20425.4004,23,2008-10-29 07:26,,0
33,2,39607.6016,15,2008-10-29 07:26,,0
34,1,20445.5996,20,2008-10-30 07:50,,0
35,2,39622.5586,15,2008-10-30 07:50,,0
36,1,20480.4004,35,2008-10-31 07:54,,0
37,2,39650.5,28,2008-10-31 07:54,Am Do kleines NZ belegt,0
38,1,20526.0996,46,2008-11-01 07:57,,0
39,2,39672.9219,22,2008-11-01 07:57,,0
40,1,20571.6992,46,2008-11-02 08:36,,0
41,2,39704.8984,32,2008-11-02 08:36,So hintere Haelfte Saal und kl NZ belegt,0
42,1,20633.5996,62,2008-11-03 07:18,So Kombi Spuelmaschine,0
43,2,39722.9609,18,2008-11-03 07:18,s o,0
44,1,20671,37,2008-11-04 07:14,,0
45,2,39740.4805,18,2008-11-04 07:14,Gymnastik,0
46,1,20700.5996,30,2008-11-05 07:56,Bierkeller und Theke aus,0
47,2,39752.5781,12,2008-11-05 07:56,,0
48,1,20726,25,2008-11-06 08:04,Bierkeller und Theke aus,9
49,2,39763.5195,11,2008-11-06 08:04,,9
50,3,2052,,2008-11-06 08:17,,9
51,4,1804,1688,2008-11-06 08:17,,9
52,1,20776.8008,51,2008-11-07 07:53,Fr Grillplatte,9
53,2,39775.5508,12,2008-11-07 07:53,,9
54,1,20822.9004,46,2008-11-08 08:35,Fr Grillplatte,6
55,2,39794.1602,19,2008-11-08 08:35,Fr Saal hinten MGV,6
56,1,20881.6992,59,2008-11-09 07:34,Sa Grillplatte So Kombi,9
57,2,39815.5195,21,2008-11-09 07:34,So Saal hinten gr NZ leicht Saaltoiletten,9
58,1,20991.3008,110,2008-11-10 07:29,Kombi Tellerwaermer Wasserbad Spuelmaschine,12
59,2,39843.2695,28,2008-11-10 07:29,So siehe oben,12
60,1,21027,36,2008-11-11 07:29,,13
61,2,39856.3516,13,2008-11-11 07:29,,13
62,1,21048.1992,21,2008-11-12 07:00,,6
63,2,39864.4688,8,2008-11-12 07:00,,6
64,1,21073.1992,25,2008-11-13 07:40,,4
65,2,39874.6602,10,2008-11-13 07:40,,4
66,1,21123.9004,51,2008-11-14 07:58,Do 1/2 Grillplatte,3
67,2,39890.4297,16,2008-11-14 07:58,,3
68,1,21172.1992,48,2008-11-15 08:07,Fr Kombi,7
69,2,39916.6602,26,2008-11-15 08:07,Fr Saal hinten MGV,7
70,1,21240.5996,68,2008-11-16 07:42,Sa So morgen Kombi,10
71,2,39937.3086,21,2008-11-16 07:42,,10
72,1,21325.9004,85,2008-11-17 08:12,Kombi Spuelmaschine,4
73,2,39960.8086,24,2008-11-17 08:12,So kleines Nebenzimmer,4
74,1,21360.5996,35,2008-11-18 08:48,,3
75,2,39980.6094,20,2008-11-18 08:48,,3
76,1,21382.5,22,2008-11-19 07:16,,5
77,2,39996.2109,16,2008-11-19 07:16,,5
78,1,21406.3008,24,2008-11-20 08:03,,9
79,2,40013.5117,17,2008-11-20 08:03,,9
80,1,21463.9004,58,2008-11-21 07:55,,5
81,2,40035.6992,22,2008-11-21 07:55,,5
82,1,21676.6992,213,2008-11-23 12:40,1.5 Tage Kombi. Tellerwaermer Wasserbad Spuelmaschine,1
83,2,40132.9102,97,2008-11-23 12:40,Fr vordere Hlfte Saal Sa Saal kl NZ 25 C Heizung,1
84,1,21716,39,2008-11-24 09:38,,-1
85,2,40156.6992,24,2008-11-24 09:38,,-1
86,1,21758.5,43,2008-11-25 08:34,,-1
87,2,40191.6992,35,2008-11-25 08:34,,-1
88,1,21789.9004,31,2008-11-26 07:58,,1
89,2,40219.6602,28,2008-11-26 07:58,,1
90,3,2068,16,2008-11-26 07:58,,1
91,4,1809,5,2008-11-26 07:58,,1
92,1,21819.5,30,2008-11-27 08:03,,3
93,2,40248.2812,29,2008-11-27 08:03,,3
94,1,21889.0996,70,2008-11-28 09:17,,0
95,2,40281.2305,33,2008-11-28 09:17,,0
96,1,21957.5,68,2008-11-29 09:34,,0
97,2,40324.6211,43,2008-11-29 09:34,Fr Saal MGV,0
98,1,22095.6992,138,2008-11-30 10:12,,0
99,2,40372.1406,48,2008-11-30 10:14,Sa gr NZ. kl NZ,0
100,1,22173.1992,78,2008-12-01 13:03,,1
101,2,40422.0391,50,2008-12-01 13:03,kl NZ über Nacht beheizt,1
102,1,22214.5,41,2008-12-02 08:14,,3
103,2,40445.5312,23,2008-12-02 08:14,,3
104,1,22244,30,2008-12-03 07:52,,1
105,2,40470.1289,25,2008-12-03 07:52,,1
106,1,22297.5996,54,2008-12-04 09:12,,-2
107,2,40505.0586,35,2008-12-04 09:12,,-2
108,1,22363.0996,66,2008-12-05 07:35,,4
109,2,40536.2383,31,2008-12-05 07:35,,4
110,1,22492.6992,130,2008-12-06 07:27,,2
111,2,40579.7305,43,2008-12-06 07:27,Fr Saal MGV. kl NZ,2
112,1,22614.3008,122,2008-12-07 07:48,,3
113,2,40616.8008,37,2008-12-07 07:48,Sa gr NZ geheizt,3
114,1,22705.3008,91,2008-12-08 07:57,,3
115,2,40645.9297,29,2008-12-08 07:57,So kl NZ geheizt,3
116,1,22757,52,2008-12-09 08:24,,-1
117,2,40679.5508,34,2008-12-09 08:24,Mo gr NZ Saal Gymn,-1
118,1,22856.4004,99,2008-12-11 07:52,,0
119,2,40726.8086,47,2008-12-11 07:52,Mi kl NZ,0
120,1,22980.5996,124,2008-12-13 08:49,Do Kombi Fr Grillplatte,-2
121,2,40796.6016,70,2008-12-13 08:49,Do kl NZ. Fr Saal MGV,-2
122,1,23078.0996,98,2008-12-14 09:18,Sa Kombi Friteuse,0
123,2,40838.0508,41,2008-12-14 09:18,,0
124,1,23111.3008,33,2008-12-15 08:16,,2
125,2,40869.5,31,2008-12-15 08:16,,2
126,1,23170.0996,59,2008-12-16 08:10,,1
127,2,40905,36,2008-12-16 08:10,,1
128,1,23205.0996,35,2008-12-17 07:53,,-1
129,2,40930.6289,26,2008-12-17 07:53,,-1
130,3,2084,16,2008-12-17 07:53,,-1
131,4,1813.5,5,2008-12-17 07:53,,-1
132,1,23238.6992,34,2008-12-18 07:11,,2
133,2,40956.9102,26,2008-12-18 07:11,,2
134,1,23317.1992,79,2008-12-19 08:43,,4
135,2,40989.7383,33,2008-12-19 08:43,,4
136,1,23432.0996,115,2008-12-20 08:09,,4
137,2,41020.3984,31,2008-12-20 08:09,,4
138,1,23580,148,2008-12-21 09:56,,5
139,2,41065.7109,45,2008-12-21 09:56,,5
140,1,23627.5996,48,2008-12-22 09:26,,8
141,2,41089.7812,24,2008-12-22 09:26,,8
142,1,23699.0996,72,2008-12-23 07:31,,4
143,2,41119.7188,30,2008-12-23 07:31,,4
144,1,23795.6992,97,2008-12-24 09:14,,4
145,2,41153.3516,34,2008-12-24 09:14,,4
146,1,24041.5996,246,2008-12-26 10:16,,-2
147,2,41248,95,2008-12-26 10:16,Do Saal Brunch,-2
148,1,24079.4004,38,2008-12-27 07:07,,-3
149,2,41272,24,2008-12-27 07:07,,-3
150,1,24132.8008,53,2008-12-28 08:04,,-3
151,2,41315,43,2008-12-28 08:04,,-3
152,1,24187.5,55,2008-12-29 07:51,So Kombidämpfer ,-6
153,2,41358.6797,44,2008-12-29 07:51,,-6
154,1,24253.9004,66,2008-12-30 10:48,Mo Vorbereitung Partyservice,-5
155,2,41410.9883,52,2008-12-30 10:48,,-5
156,3,2097,13,2008-12-30 10:48,,-5
157,4,1817,4,2008-12-30 10:48,,-5
158,1,24292,38,2008-12-31 07:58,,-11
159,2,41455.3594,44,2008-12-31 07:58,,-11
160,1,24348.1992,56,2009-01-01 08:55,MI Partyservice,-5
161,2,41504,49,2009-01-01 08:55,,-5
162,1,24386.6992,39,2009-01-02 07:47,,-2
163,2,41543.8594,40,2009-01-02 07:47,,-2
164,1,24440.6992,54,2009-01-03 08:17,Fr Brotbackautomat,-14
165,2,41590.4414,47,2009-01-03 08:17,,-14
166,1,24489.3008,49,2009-01-04 07:28,,-2
167,2,41641.3789,51,2009-01-04 07:28,,-2
168,1,24531.0996,42,2009-01-05 08:31,,-3
169,2,41689.7617,48,2009-01-05 08:31,,-3
170,1,24576.9004,46,2009-01-06 07:48,,-15
171,2,41738.3008,49,2009-01-06 07:48,,-15
172,1,24608.9004,32,2009-01-07 07:37,,-14
173,2,41798.6992,60,2009-01-07 07:37,,-14
174,1,24638,29,2009-01-08 07:30,,-7
